NHG,nhg,Nhg,National Healthcare Group
NHHS,nhhs,Nhhs,Nan Hua High School
NIE,nie,Nie,National Institute of Education
NJC,njc,Njc,National Junior College
NLB,nlb,Nlb,National Library Board
No.,no.,,Number
NP,,,Ngee Ann Polytechnic
NPARKS,nparks,Nparks,National Parks Board
NParks,nparks,Nparks,National Parks Board
NPC,npc,,Neighbourhood Police Centre
NPCC,npcc,Npcc,National Police Cadet Corps
NSC,nsc,Nsc,North South Corridor
NTFGH,ntfgh,Ntfgh,Ng Teng Fong General Hospital
Nth,nth,,North
NTU,ntu,Ntu,Nanyang Technological University
NUH,nuh,Nuh,National University Hospital
NUS,nus,Nus,National University of Singapore
NUS High,nus high,Nus High,NUS High School of Mathematics and Science
NYGH,nygh,Nygh,Nanyang Girls' High School
NYJC,nyjc,Nyjc,Nanyang Junior College
NYP,nyp,Nyp,Nanyang Polytechnic
NYPS,nyps,Nyps,Nanyang Primary School
OBS,obs,Obs,Outward Bound Singapore
OCS,ocs,Ocs,Officer Cadet School
Opp,opp,,Opposite
P/G,p/g,,Playground
P/L,p/l,,Private Limited
PA,,,People's Association
PGL,pgl,Pgl,Punggol
PGP,pgp,Pgp,Prince George's Park
PIE,pie,Pie,Pan Island Expressway
Pk,pk,,Park
Pl,pl,,Place
PLMGS,plmgs,Plmgs,Paya Lebar Methodist Girls' School
PLQ,plq,Plq,Paya Lebar Quarter
Plt,plt,,Plant
PO,,,Post Office
Poly,poly,,Polytechnic
Poly,poly,,Polytechnic
Presby,presby,,Presbyterian
Pri,pri,,Primary
PSC,psc,Psc,Public Service Comission
PSR,psr,Psr,Pasir Ris
Pt,pt,,Point
PTB,ptb,,Passenger Terminal Building
Pte,pte,,Private
RC,rc,Rc,Residents' Committee
Rd,rd,,Road
Reclam,reclam,,Reclamation
Reg,reg,,Regional
Rehab,rehab,,Rehabilitation
Rel,rel,,Release
Resvr,resvr,,Reservoir
RGPS,rgps,Rgps,Raffles Girls' Primary School
RGS,rgs,Rgs,Raffles Girls' School
RI,ri,Ri,Raffles Institution
RJC,rjc,Rjc,Raffles Institution
RP,rp,Rp,Republic Polytechnic
RVHS,rvhs,Rvhs,River Valley High School
SAF,saf,Saf,Singapore Armed Forces
SAJC,sajc,Sajc,Saint Andrew's Junior College
SAS,sas,Sas,Singapore American School
SBST,sbst,Sbst,SBS Transit
SCDF,scdf,Scdf,Singapore Civil Defence Force
SCGS,scgs,Scgs,Singapore Chinese Girls' School
Sch,sch,,School
Sci,sci,,Science
SCS,scs,Scs,Specialist Cadet School
SEAB,seab,Seab,Singapore Examinations and Assessments Board
Sec,sec,,Secondary
Sg,sg,,Sungei
SGH,sgh,Sgh,Singapore General Hospital
S'goon,s'goon,,Serangoon
SICC,sicc,Sicc,Singapore Island Country Club
SINDA,sinda,Sinda,Singapore Indian Development Association
SIT,,,Singapore Institute of Technology
SJI,sji,Sji,Saint Joseph's Institution
SJI(I),sji(i),Sji(I),Saint Joseph's Institution (International)
SJI(J),sji(j),Sji(J),Saint Joseph's Institution (Junior)
SJII,sjii,Sjii,Saint Joseph's Institution (International)
SJIJ,sjij,Sjij,Saint Joseph's Institution (Junior)
SK,sk,Sk,Sengkang
SKGH,skgh,Skgh,Sengkang General Hospital
SLA,sla,Sla,Singapore Land Authority
SLE,sle,,Seletar Expressway
SLF,slf,Slf,Singapore Labour Foundation
SLSS,slss,Slss,Si Ling Secondary School
SMF,smf,Smf,Singapore Manufacturing Federation
SMSS,smss,Smss,Saint Margaret's Secondary School
SMU,smu,Smu,Singapore Management University
SNOC,snoc,Snoc,Singapore National Olympic Council
SNPC,snpc,Snpc,Singapore National Paralympic Council
Snr,snr,,Senior
SOS,sos,Sos,Samaritans of Singapore
SOTA,sota,Sota,School of the Arts
SP,sp,Sp,Singapore Polytechnic
SPF,spf,Spf,Singapore Police Force
SPH,sph,Sph,Singapore Press Holdings
S'pore,s'pore,,Singapore
SPS,sps,Sps,Saint Patrick's School
Sq,sq,,Square
SSDC,ssdc,Ssdc,Singapore Safety Driving Centre
St,st,,Street
St.,st.,,Saint
Sth,sth,,South
Stn,stn,,Station
SUSS,suss,Suss,Singapore University of Social Sciences
SUTD,sutd,Sutd,Singapore University of Technology and Design
Svc,svc,,Service
Svcs,svcs,,Services
SVPS,svps,Svps,South View Primary School
Swim,swim,,Swimming
TBP,tbp,Tbp,Tiong Bharu Plaza
Tec,tec,,Technology
Tech,tech,,Technology
TEL,tel,Tel,Thomson-East Coast Line
Temp,temp,,Temporary
Ter,ter,,Terminal
Terr,terr,,Terrace
Ters,ters,,Terminals
Tg,tg,,Tanjong
TGP,tgp,Tgp,Tanjong Pagar
TJC,tjc,Tjc,Temasek Junior College
TKGS,tkgs,Tkgs,Tanjong Katong Girls' School
TKSS,tkss,Tkss,Tanjong Katong Secondary School
TMJC,tmjc,Tmjc,Tampines Meridian Junior College
TNS,tns,Tns,Tao Nan School
Townhse,townhse,,Townhouse
Tp,tp,,Temple
TPE,tpe,,Tampines Expressway
TPSS,tpss,Tpss,Tampines Secondary School
TPY,tpy,Tpy,Toa Payoh
Trg,trg,,Training
Trspt,trspt,,Transport
TTSH,ttsh,Ttsh,Tan Tock Seng Hospital
Twr,twr,,Tower
Twrs,twrs,,Towers
Upp,upp,,Upper
URA,ura,Ura,Urban Redevelopment Authority
USS,uss,Uss,Universal Studios Singapore
UWCSEA,uwcsea,Uwcsea,United World College of South East Asia
Veh,veh,,Vehicle
VJC,vjc,Vjc,Victoria Junior College
Warehse,warehse,,Warehouse
WDL,wdl,Wdl,Woodlands
Wk,wk,,Walk
W'lands,w'lands,,Woodlands
Wtr,wtr,,Water
YCK,yck,Yck,Yio Chu Kang
YCKSS,yckss,Yckss,Yio Chu Kang Secondary School
YIJC,yijc,Yijc,Yishun Innova Junior College
YIS,yis,Yis,Yishun
NSL,nsl,Nsl,North South Line
